,game_seconds_remaining,home_wp,away_wp
1,3600.0,,
2,3600.0,0.5000068217219346,0.49999317827806544
3,3564.0,0.4519160402186493,0.5480839597813507
4,3527.0,0.4249597297588354,0.5750402702411646
5,3491.0,0.4031574614375879,0.5968425385624121
6,3483.0,0.3912588135379693,0.6087411864620307
7,3449.0,0.3910004634374956,0.6089995365625044
8,3419.0,0.3719682895474111,0.6280317104525889
9,3372.0,0.3174310703879262,0.6825689296120738
10,3367.0,0.2866141996158543,0.7133858003841457
11,3367.0,0.29266410874950727,0.7073358912504928
12,3357.0,0.3507341700902478,0.6492658299097522
13,3322.0,0.3437139959728252,0.6562860040271747
14,3286.0,0.36631384337514983,0.6336861566248502
15,3255.0,0.38013308735440904,0.6198669126455909
16,3216.0,0.377901289540333,0.622098710459667
17,3180.0,0.34800591020558586,0.6519940897944141
18,3174.0,0.29946649450412743,0.7005335054958726
19,3165.0,0.32275510170680866,0.6772448982931913
20,3125.0,0.3413294662915668,0.6586705337084332
21,3084.0,0.2711502568855524,0.7288497431144476
22,3044.0,0.29130246924095693,0.7086975307590431
23,3001.0,0.29872606823009007,0.7012739317699099
24,2997.0,0.353040122675071,0.646959877324929
25,2988.0,0.2992224464249294,0.7007775535750707
26,2956.0,0.2832175158956592,0.7167824841043409
27,2916.0,0.3156215846512894,0.6843784153487106
28,2896.0,,
29,2876.0,0.3836999902799635,0.6163000097200365
30,2841.0,0.3609460020186816,0.6390539979813183
31,2798.0,0.35296761667301835,0.6470323833269817
32,2793.0,0.40662483742415384,0.5933751625758461
33,2747.0,0.390217978631337,0.609782021368663
34,2741.0,0.36556268173477235,0.6344373182652276
35,2700.0,,
36,2700.0,0.3462545398255013,0.6537454601744987
37,2697.0,0.33266858957783396,0.667331410422166
38,2661.0,0.30510460391279903,0.694895396087201
39,2657.0,0.3292714061812061,0.6707285938187939
40,2618.0,0.3771833643470063,0.6228166356529937
41,2611.0,0.334615761298747,0.665384238701253
42,2606.0,0.31442546066664595,0.6855745393333541
43,2567.0,0.29415492713313524,0.7058450728668648
44,2561.0,0.39380448755581376,0.6061955124441862
45,2555.0,0.46903759358259306,0.530962406417407
46,2555.0,0.4670102459769332,0.5329897540230668
47,2549.0,0.4836567440038615,0.5163432559961385
48,2505.0,0.4374765933780208,0.5625234066219792
49,2501.0,0.45432044563856855,0.5456795543614315
50,2455.0,0.4264613869441244,0.5735386130558756
51,2422.0,0.3954969120112123,0.6045030879887877
52,2387.0,0.31655822248682697,0.683441777513173
53,2360.0,0.3033850521725503,0.6966149478274497
54,2354.0,0.32838058990525365,0.6716194100947463
55,2349.0,0.3883063796599957,0.6116936203400043
56,2345.0,0.39103467130102204,0.608965328698978
57,2345.0,0.39103467130102204,0.608965328698978
58,2303.0,0.3652028275516079,0.6347971724483921
59,2275.0,0.4255875060354525,0.5744124939645475
60,2245.0,0.4339557675286521,0.5660442324713479
61,2205.0,0.45703110782746925,0.5429688921725307
62,2169.0,0.4304697272393876,0.5695302727606124
63,2128.0,0.47174605130168495,0.5282539486983151
64,2090.0,0.4871612067034929,0.5128387932965071
65,2051.0,0.47512929325354913,0.5248707067464509
66,2044.0,0.45342192060337577,0.5465780793966242
67,2041.0,0.43483315362238023,0.5651668463776198
68,2037.0,0.3354455764198532,0.6645544235801468
69,2011.0,0.27448450445210926,0.7255154955478907
70,1970.0,0.2965120259042643,0.7034879740957357
71,1920.0,,
72,1920.0,0.2774043354994048,0.7225956645005952
73,1913.0,0.15935958563537167,0.8406404143646283
74,1913.0,0.18177283836890845,0.8182271616310915
75,1913.0,0.18177283836890845,0.8182271616310915
76,1889.0,0.18702230348059432,0.8129776965194057
77,1871.0,0.19729506741084293,0.8027049325891571
78,1868.0,0.19098744001814652,0.8090125599818535
79,1868.0,0.1848252588435802,0.8151747411564199
80,1861.0,0.17288087427322166,0.8271191257267784
81,1861.0,0.17288087427322166,0.8271191257267784
82,1826.0,0.1753843204655415,0.8246156795344585
83,1826.0,0.1753843204655415,0.8246156795344585
84,1819.0,0.21334896156600705,0.786651038433993
85,1819.0,0.21334896156600705,0.786651038433993
86,1811.0,0.23168293042025026,0.7683170695797498
87,1811.0,0.23168293042025026,0.7683170695797498
88,1808.0,0.21148292618962888,0.7885170738103711
89,1808.0,0.21148292618962888,0.7885170738103711
90,1803.0,0.2146782110995169,0.7853217889004831
91,1800.0,,
92,1800.0,0.2140117144976803,0.7859882855023197
93,1791.0,0.26238670781344486,0.7376132921865551
94,1753.0,0.25302274051230755,0.7469772594876924
95,1719.0,0.23092975445163,0.76907024554837
96,1715.0,0.25540176350498367,0.7445982364950163
97,1677.0,0.2574099606956357,0.7425900393043643
98,1672.0,0.31366200159577784,0.6863379984042222
99,1663.0,0.27618067620084014,0.7238193237991599
100,1632.0,0.2721819219310068,0.7278180780689931
101,1591.0,0.2412233407294323,0.7587766592705677
102,1553.0,0.16706438234621124,0.8329356176537888
103,1542.0,0.2265327220314617,0.7734672779685383
104,1507.0,0.21720354083889115,0.7827964591611088
105,1473.0,0.19136418319735282,0.8086358168026472
106,1430.0,0.18862820571919225,0.8113717942808077
107,1387.0,0.18944989096470266,0.8105501090352973
108,1349.0,0.16450035200215107,0.8354996479978489
109,1310.0,0.13740484768422356,0.8625951523157764
110,1268.0,0.14391653818711303,0.856083461812887
111,1262.0,0.1592458667520007,0.8407541332479993
112,1259.0,0.18856695566547332,0.8114330443345267
113,1254.0,0.16003425842225036,0.8399657415777496
114,1254.0,0.16003425842225036,0.8399657415777496
115,1249.0,0.14459832184788823,0.8554016781521118
116,1211.0,0.13452090252185814,0.8654790974781419
117,1193.0,0.17861528863088566,0.8213847113691144
118,1160.0,0.17122953152395398,0.828770468476046
119,1123.0,0.20591622732845022,0.7940837726715497
120,1092.0,0.2101237176353304,0.7898762823646697
121,1057.0,0.2124137566401958,0.7875862433598042
122,1023.0,0.21886848991421784,0.7811315100857822
123,1012.0,0.09965418457041275,0.9003458154295872
124,974.0,0.10839306630240886,0.8916069336975911
125,969.0,0.1226785835002111,0.8773214164997889
126,965.0,0.17535229042574096,0.824647709574259
127,953.0,0.11612472966861605,0.8838752703313839
128,953.0,0.11000299164650948,0.8899970083534905
129,920.0,0.11060177709703532,0.8893982229029647
130,900.0,,
131,900.0,0.15039785356608862,0.8496021464339114
132,869.0,0.14686675344374764,0.8531332465562523
133,831.0,0.16020843054767275,0.8397915694523272
134,804.0,0.18679996734436505,0.813200032655635
135,765.0,0.17505641707426922,0.8249435829257308
136,715.0,0.13143662025205155,0.8685633797479484
137,705.0,0.07391016541285389,0.9260898345871461
138,667.0,0.0770725362386423,0.9229274637613577
139,659.0,0.0825062203082868,0.9174937796917132
140,659.0,0.0825062203082868,0.9174937796917132
141,619.0,0.08960300332052529,0.9103969966794747
142,614.0,0.08039789933009338,0.9196021006699067
143,614.0,0.08039789933009338,0.9196021006699067
144,582.0,0.06017323985790431,0.9398267601420957
145,579.0,0.0739290426769678,0.9260709573230322
146,556.0,0.06803689296347108,0.931963107036529
147,533.0,0.06312096244104742,0.9368790375589526
148,521.0,0.036573546706510585,0.9634264532934894
149,480.0,0.03791822282894963,0.9620817771710504
150,440.0,0.028550110099544668,0.9714498899004553
151,436.0,0.03126702804144921,0.9687329719585508
152,397.0,0.030897107688361625,0.9691028923116384
153,392.0,0.03678657330267543,0.9632134266973246
154,387.0,0.03317032023316515,0.9668296797668349
155,381.0,0.032613033394153744,0.9673869666058462
156,347.0,0.027511669255091232,0.9724883307449088
157,324.0,0.031979310156015676,0.9680206898439844
158,305.0,0.03203566973639953,0.9679643302636005
159,286.0,0.032029199289988056,0.967970800710012
160,258.0,0.028916843781914125,0.9710831562180858
161,236.0,0.029459439044847876,0.9705405609551522
162,215.0,0.032300893766458005,0.967699106233542
163,211.0,0.02865240653148681,0.9713475934685132
164,206.0,0.05916635697298277,0.9408336430270172
165,206.0,,
166,204.0,0.04187427987900094,0.9581257201209991
167,204.0,0.07024815605302763,0.9297518439469724
168,174.0,0.042434241250911255,0.9575657587490888
169,169.0,0.03846177399396256,0.9615382260060374
170,163.0,0.029693751025206258,0.9703062489747938
171,147.0,0.05351664106725475,0.9464833589327453
172,146.0,0.046888720084689944,0.9531112799153101
173,129.0,0.03922699385257994,0.96077300614742
174,120.0,,
175,120.0,0.03942166043445401,0.960578339565546
176,116.0,0.05019385445330127,0.9498061455466987
177,114.0,0.12378659643734274,0.8762134035626572
178,91.0,0.07987830122780103,0.920121698772199
179,84.0,0.05977966137611285,0.9402203386238872
180,84.0,0.05977966137611285,0.9402203386238872
181,79.0,0.07429727019846026,0.9257027298015398
182,71.0,0.04317209934697305,0.9568279006530269
183,71.0,0.04317209934697305,0.9568279006530269
184,50.0,0.02519775801412754,0.9748022419858725
185,44.0,0.017091600241580587,0.9829083997584194
186,38.0,0.008348554035521039,0.991651445964479
187,0.0,0.0,1.0
