quarter,clock,real_time,is_halftime
1,02:40,2019-11-24 16:31:59.088032,False
1,02:40,2019-11-24 16:32:14.216744,False
1,02:40,2019-11-24 16:32:29.363986,False
1,02:40,2019-11-24 16:32:44.497058,False
1,02:19,2019-11-24 16:32:59.630035,False
1,02:19,2019-11-24 16:33:14.744911,False
1,02:19,2019-11-24 16:33:29.888006,False
1,02:19,2019-11-24 16:33:45.015905,False
1,02:19,2019-11-24 16:34:00.220583,False
1,02:19,2019-11-24 16:34:15.364035,False
1,02:19,2019-11-24 16:34:30.514770,False
1,02:19,2019-11-24 16:34:45.677853,False
1,02:19,2019-11-24 16:35:00.887732,False
1,02:19,2019-11-24 16:35:15.995141,False
1,02:19,2019-11-24 16:35:31.104628,False
1,01:53,2019-11-24 16:35:46.245153,False
1,01:53,2019-11-24 16:36:01.370667,False
1,01:53,2019-11-24 16:36:16.504240,False
1,01:53,2019-11-24 16:36:31.680884,False
1,01:14,2019-11-24 16:36:46.783205,False
1,01:14,2019-11-24 16:37:01.922510,False
1,01:14,2019-11-24 16:37:17.073806,False
1,01:14,2019-11-24 16:37:32.223432,False
1,01:04,2019-11-24 16:37:47.516364,False
1,01:04,2019-11-24 16:38:02.736510,False
1,00:35,2019-11-24 16:38:17.915681,False
1,00:35,2019-11-24 16:38:33.037686,False
1,00:35,2019-11-24 16:38:48.220076,False
1,00:35,2019-11-24 16:39:03.478873,False
1,00:35,2019-11-24 16:39:18.826254,False
1,00:35,2019-11-24 16:39:34.016239,False
1,00:35,2019-11-24 16:39:49.193810,False
2,15:00,2019-11-24 16:40:04.343510,False
2,15:00,2019-11-24 16:40:19.495601,False
2,15:00,2019-11-24 16:40:34.630523,False
2,15:00,2019-11-24 16:40:49.770027,False
2,15:00,2019-11-24 16:41:05.011734,False
2,15:00,2019-11-24 16:41:20.330818,False
2,15:00,2019-11-24 16:41:35.478561,False
2,15:00,2019-11-24 16:41:50.645591,False
2,15:00,2019-11-24 16:42:05.872629,False
2,15:00,2019-11-24 16:42:21.032200,False
2,15:00,2019-11-24 16:42:36.249941,False
2,15:00,2019-11-24 16:42:51.407561,False
2,15:00,2019-11-24 16:43:06.531243,False
2,15:00,2019-11-24 16:43:21.683739,False
2,14:50,2019-11-24 16:43:36.938508,False
2,14:50,2019-11-24 16:43:52.126217,False
2,14:50,2019-11-24 16:44:07.258250,False
2,14:50,2019-11-24 16:44:22.410276,False
2,14:11,2019-11-24 16:44:37.532134,False
2,14:11,2019-11-24 16:44:52.679336,False
2,14:11,2019-11-24 16:45:08.001423,False
2,13:31,2019-11-24 16:45:23.203184,False
2,13:31,2019-11-24 16:45:38.503680,False
2,13:31,2019-11-24 16:45:53.709635,False
2,13:31,2019-11-24 16:46:08.905133,False
2,13:31,2019-11-24 16:46:24.049471,False
2,12:47,2019-11-24 16:46:39.242074,False
2,12:47,2019-11-24 16:46:54.386178,False
2,12:47,2019-11-24 16:47:09.666491,False
2,12:18,2019-11-24 16:47:24.932600,False
2,12:18,2019-11-24 16:47:40.119333,False
2,11:34,2019-11-24 16:47:55.288848,False
2,11:34,2019-11-24 16:48:10.947956,False
2,11:34,2019-11-24 16:48:26.113537,False
2,11:34,2019-11-24 16:48:41.274329,False
2,11:34,2019-11-24 16:48:56.406495,False
2,10:38,2019-11-24 16:49:11.584344,False
2,10:38,2019-11-24 16:49:27.381219,False
2,10:38,2019-11-24 16:49:42.539445,False
2,10:38,2019-11-24 16:49:57.697582,False
2,10:38,2019-11-24 16:50:12.826793,False
2,10:38,2019-11-24 16:50:28.092513,False
2,10:38,2019-11-24 16:50:43.232246,False
2,10:38,2019-11-24 16:50:58.409144,False
2,10:38,2019-11-24 16:51:13.659702,False
2,10:38,2019-11-24 16:51:29.011880,False
2,10:38,2019-11-24 16:51:44.208881,False
2,10:38,2019-11-24 16:51:59.384531,False
2,10:38,2019-11-24 16:52:14.596457,False
2,10:02,2019-11-24 16:52:30.502030,False
2,10:02,2019-11-24 16:52:45.679042,False
2,09:17,2019-11-24 16:53:00.936336,False
2,09:17,2019-11-24 16:53:16.091356,False
2,09:17,2019-11-24 16:53:31.232469,False
2,08:33,2019-11-24 16:53:46.386931,False
2,08:33,2019-11-24 16:54:01.551562,False
2,08:33,2019-11-24 16:54:16.774856,False
2,08:33,2019-11-24 16:54:31.908617,False
2,07:49,2019-11-24 16:54:47.083576,False
2,07:49,2019-11-24 16:55:02.286560,False
2,07:10,2019-11-24 16:55:17.474429,False
2,07:10,2019-11-24 16:55:32.670031,False
2,07:10,2019-11-24 16:55:47.915833,False
2,06:29,2019-11-24 16:56:03.173995,False
2,06:29,2019-11-24 16:56:18.431747,False
2,06:29,2019-11-24 16:56:33.587937,False
2,06:29,2019-11-24 16:56:48.790300,False
2,06:29,2019-11-24 16:57:03.958273,False
2,06:29,2019-11-24 16:57:19.131546,False
2,06:29,2019-11-24 16:57:34.326272,False
2,06:29,2019-11-24 16:57:49.475165,False
2,06:29,2019-11-24 16:58:04.694141,False
2,06:29,2019-11-24 16:58:20.035293,False
2,06:29,2019-11-24 16:58:35.246713,False
2,06:29,2019-11-24 16:58:50.403218,False
2,06:29,2019-11-24 16:59:05.746775,False
2,06:29,2019-11-24 16:59:21.017403,False
2,06:29,2019-11-24 16:59:36.261166,False
2,06:29,2019-11-24 16:59:51.471421,False
2,06:29,2019-11-24 17:00:06.670596,False
2,06:29,2019-11-24 17:00:21.911849,False
2,06:29,2019-11-24 17:00:37.117545,False
2,06:29,2019-11-24 17:00:52.280388,False
2,06:21,2019-11-24 17:01:09.864350,False
2,06:21,2019-11-24 17:01:25.182393,False
2,06:21,2019-11-24 17:01:40.417257,False
2,05:42,2019-11-24 17:01:55.652185,False
2,05:42,2019-11-24 17:02:10.937919,False
2,05:42,2019-11-24 17:02:26.146919,False
2,04:58,2019-11-24 17:02:41.514741,False
2,04:58,2019-11-24 17:02:56.791319,False
2,04:14,2019-11-24 17:03:12.087798,False
2,04:14,2019-11-24 17:03:27.439684,False
2,03:34,2019-11-24 17:03:42.871094,False
2,03:34,2019-11-24 17:03:58.187538,False
2,03:34,2019-11-24 17:04:13.492989,False
2,03:34,2019-11-24 17:04:28.937485,False
2,02:50,2019-11-24 17:04:44.252224,False
2,02:50,2019-11-24 17:04:59.626233,False
2,02:50,2019-11-24 17:05:14.911215,False
2,02:05,2019-11-24 17:05:30.227083,False
2,02:00,2019-11-24 17:05:48.455533,False
2,02:00,2019-11-24 17:06:03.746906,False
2,02:00,2019-11-24 17:06:18.943158,False
2,02:00,2019-11-24 17:06:34.226545,False
2,02:00,2019-11-24 17:06:49.599168,False
2,02:00,2019-11-24 17:07:04.891312,False
2,02:00,2019-11-24 17:07:20.088095,False
2,02:00,2019-11-24 17:07:35.309923,False
2,02:00,2019-11-24 17:07:50.915470,False
2,02:00,2019-11-24 17:08:06.305740,False
2,02:00,2019-11-24 17:08:21.943534,False
2,02:00,2019-11-24 17:08:37.262133,False
2,02:00,2019-11-24 17:08:52.560513,False
2,02:00,2019-11-24 17:09:07.771776,False
2,02:00,2019-11-24 17:09:23.052109,False
2,02:00,2019-11-24 17:09:38.357359,False
2,01:50,2019-11-24 17:09:53.624578,False
2,01:50,2019-11-24 17:10:08.841796,False
2,01:50,2019-11-24 17:10:24.120427,False
2,01:50,2019-11-24 17:10:39.382495,False
2,01:50,2019-11-24 17:10:57.645279,False
2,01:50,2019-11-24 17:11:12.934113,False
2,01:50,2019-11-24 17:11:28.276871,False
2,01:50,2019-11-24 17:11:43.487876,False
2,01:50,2019-11-24 17:11:58.769173,False
2,01:50,2019-11-24 17:12:14.033301,False
2,01:50,2019-11-24 17:12:29.338674,False
2,01:50,2019-11-24 17:12:44.500937,False
2,01:50,2019-11-24 17:12:59.757393,False
2,01:50,2019-11-24 17:13:15.063029,False
2,01:50,2019-11-24 17:13:30.269739,False
2,01:29,2019-11-24 17:13:45.541122,False
2,01:29,2019-11-24 17:14:00.787292,False
2,01:24,2019-11-24 17:14:16.044902,False
2,01:24,2019-11-24 17:14:31.209919,False
2,01:24,2019-11-24 17:14:46.449664,False
2,01:24,2019-11-24 17:15:01.739864,False
2,01:24,2019-11-24 17:15:16.991104,False
2,01:07,2019-11-24 17:15:32.222177,False
2,01:07,2019-11-24 17:15:47.385093,False
2,01:07,2019-11-24 17:16:02.532460,False
2,01:07,2019-11-24 17:16:17.677800,False
2,01:07,2019-11-24 17:16:32.875757,False
2,00:44,2019-11-24 17:16:48.149746,False
2,00:44,2019-11-24 17:17:03.312344,False
2,00:32,2019-11-24 17:17:33.842385,False
2,00:32,2019-11-24 17:17:49.053177,False
2,00:32,2019-11-24 17:18:04.233901,False
2,00:32,2019-11-24 17:18:19.376870,False
2,00:32,2019-11-24 17:18:34.542984,False
2,00:32,2019-11-24 17:18:49.748135,False
2,00:32,2019-11-24 17:19:04.915827,False
2,00:27,2019-11-24 17:19:20.158956,False
2,00:27,2019-11-24 17:19:35.344308,False
2,00:22,2019-11-24 17:19:50.582348,False
2,00:14,2019-11-24 17:20:05.805917,False
2,00:14,2019-11-24 17:20:20.999991,False
2,00:14,2019-11-24 17:20:36.197100,False
Halftime,15:00,2019-11-24 17:20:51.425599,True
Halftime,15:00,2019-11-24 17:21:06.677954,True
Halftime,15:00,2019-11-24 17:21:21.910570,True
Halftime,15:00,2019-11-24 17:21:37.111726,True
Halftime,15:00,2019-11-24 17:21:52.356683,True
Halftime,15:00,2019-11-24 17:22:07.551759,True
Halftime,15:00,2019-11-24 17:22:22.732560,True
Halftime,15:00,2019-11-24 17:22:37.924525,True
Halftime,15:00,2019-11-24 17:22:53.088411,True
Halftime,15:00,2019-11-24 17:23:08.375040,True
Halftime,15:00,2019-11-24 17:23:23.533560,True
Halftime,15:00,2019-11-24 17:23:38.875685,True
Halftime,15:00,2019-11-24 17:23:54.040226,True
Halftime,15:00,2019-11-24 17:24:09.202515,True
Halftime,15:00,2019-11-24 17:24:24.366949,True
Halftime,15:00,2019-11-24 17:24:39.569692,True
