quarter,clock,real_time,is_halftime
1,15:00,2019-11-24 20:22:47.571940,False
1,15:00,2019-11-24 20:23:02.624425,False
1,15:00,2019-11-24 20:23:17.690834,False
1,14:54,2019-11-24 20:23:32.767776,False
1,14:54,2019-11-24 20:23:47.813745,False
1,14:54,2019-11-24 20:24:02.871910,False
1,14:54,2019-11-24 20:24:17.969021,False
1,14:54,2019-11-24 20:24:33.044257,False
1,14:54,2019-11-24 20:24:48.078578,False
1,14:22,2019-11-24 20:25:03.160166,False
1,14:22,2019-11-24 20:25:18.217067,False
1,14:00,2019-11-24 20:25:33.282908,False
1,14:00,2019-11-24 20:25:48.371913,False
1,14:00,2019-11-24 20:26:03.465235,False
1,13:43,2019-11-24 20:26:18.557003,False
1,13:43,2019-11-24 20:26:33.659203,False
1,13:43,2019-11-24 20:26:48.773722,False
1,13:17,2019-11-24 20:27:03.873485,False
1,13:17,2019-11-24 20:27:18.974442,False
1,13:17,2019-11-24 20:27:34.150831,False
1,13:07,2019-11-24 20:27:49.253422,False
1,13:02,2019-11-24 20:28:04.349581,False
1,13:02,2019-11-24 20:28:20.267362,False
1,13:02,2019-11-24 20:28:35.355848,False
1,13:02,2019-11-24 20:28:50.438412,False
1,13:02,2019-11-24 20:29:05.525803,False
1,13:02,2019-11-24 20:29:20.620910,False
1,13:02,2019-11-24 20:29:35.728212,False
1,13:02,2019-11-24 20:29:50.796366,False
1,13:02,2019-11-24 20:30:05.881786,False
1,13:02,2019-11-24 20:30:20.953024,False
1,13:02,2019-11-24 20:30:36.013915,False
1,13:02,2019-11-24 20:30:51.087427,False
1,13:02,2019-11-24 20:31:06.183892,False
1,13:02,2019-11-24 20:31:21.274327,False
1,13:02,2019-11-24 20:31:36.402116,False
1,13:02,2019-11-24 20:31:51.475273,False
1,13:02,2019-11-24 20:32:06.523845,False
1,13:02,2019-11-24 20:32:21.631362,False
1,13:02,2019-11-24 20:32:36.680614,False
1,12:47,2019-11-24 20:32:51.759699,False
1,12:47,2019-11-24 20:33:06.853380,False
1,12:47,2019-11-24 20:33:21.917242,False
1,12:20,2019-11-24 20:33:37.007074,False
1,12:20,2019-11-24 20:33:52.056624,False
1,12:20,2019-11-24 20:34:07.113078,False
1,12:20,2019-11-24 20:34:22.194562,False
1,11:39,2019-11-24 20:34:37.283437,False
1,11:39,2019-11-24 20:34:52.362311,False
1,11:29,2019-11-24 20:35:07.432916,False
1,11:29,2019-11-24 20:35:22.521073,False
1,11:29,2019-11-24 20:35:37.571390,False
1,11:29,2019-11-24 20:35:52.702607,False
1,11:29,2019-11-24 20:36:07.789252,False
1,11:29,2019-11-24 20:36:22.861649,False
1,11:29,2019-11-24 20:36:37.927392,False
1,11:29,2019-11-24 20:36:53.001388,False
1,11:29,2019-11-24 20:37:08.079518,False
1,11:29,2019-11-24 20:37:23.202279,False
1,11:17,2019-11-24 20:37:41.343654,False
1,11:17,2019-11-24 20:37:56.440927,False
1,11:17,2019-11-24 20:38:11.499584,False
1,10:46,2019-11-24 20:38:26.595026,False
1,10:46,2019-11-24 20:38:41.684369,False
1,10:46,2019-11-24 20:38:56.765324,False
1,10:46,2019-11-24 20:39:11.854631,False
1,10:33,2019-11-24 20:39:26.950410,False
1,10:33,2019-11-24 20:39:42.024622,False
1,10:33,2019-11-24 20:39:57.107260,False
1,09:35,2019-11-24 20:40:12.209184,False
1,09:35,2019-11-24 20:40:27.309033,False
1,09:35,2019-11-24 20:40:42.374515,False
1,09:26,2019-11-24 20:40:57.463204,False
1,09:25,2019-11-24 20:41:12.595969,False
1,09:07,2019-11-24 20:41:27.649131,False
1,09:07,2019-11-24 20:41:42.746992,False
1,09:07,2019-11-24 20:41:57.834097,False
1,08:34,2019-11-24 20:42:12.914772,False
1,08:34,2019-11-24 20:42:27.989908,False
1,08:34,2019-11-24 20:42:43.053904,False
1,08:34,2019-11-24 20:42:58.128208,False
1,08:34,2019-11-24 20:43:13.194620,False
1,08:34,2019-11-24 20:43:28.298082,False
1,08:34,2019-11-24 20:43:43.381419,False
1,08:34,2019-11-24 20:43:58.452252,False
1,08:34,2019-11-24 20:44:13.524430,False
1,08:34,2019-11-24 20:44:28.631286,False
1,08:34,2019-11-24 20:44:43.716246,False
1,08:34,2019-11-24 20:44:58.842145,False
1,08:25,2019-11-24 20:45:13.939050,False
1,08:25,2019-11-24 20:45:29.003648,False
1,08:25,2019-11-24 20:45:44.076484,False
1,07:37,2019-11-24 20:45:59.171419,False
1,07:05,2019-11-24 20:46:14.230628,False
