away,day,eid,gamekey,home,meridiem,month,season_type,time,wday,week,year
CHI,28,2019112800,58076,DET,AM,11,REG,12:30,Thu,13,2019
BUF,28,2019112801,58077,DAL,PM,11,REG,4:30,Thu,13,2019
NO,28,2019112802,58078,ATL,PM,11,REG,8:20,Thu,13,2019
