ID,Away,Home
1,CAR,NO
2,DEN,BUF
3,DET,WAS
4,MIA,CLE
5,NYG,CHI
6,OAK,NYJ
7,PIT,CIN
8,SEA,PHI
9,TB,ATL
10,JAX,TEN
11,DAL,NE
12,GB,SF
13,BAL,LAR
